sales_rep_id,sales_rep_name,sales_region_id
SR001,华东代表1,R_EAST
SR002,华东代表2,R_EAST
SR003,华东代表3,R_EAST
SR004,华东代表4,R_EAST
SR005,华东代表5,R_EAST
SR006,华东代表6,R_EAST
SR007,华南代表1,R_SOUTH
SR008,华南代表2,R_SOUTH
SR009,华南代表3,R_SOUTH
SR010,华南代表4,R_SOUTH
SR011,华南代表5,R_SOUTH
SR012,华南代表6,R_SOUTH
SR013,华北代表1,R_NORTH
SR014,华北代表2,R_NORTH
SR015,华北代表3,R_NORTH
SR016,华北代表4,R_NORTH
SR017,华北代表5,R_NORTH
SR018,华北代表6,R_NORTH
SR019,西部代表1,R_WEST
SR020,西部代表2,R_WEST
SR021,西部代表3,R_WEST
SR022,西部代表4,R_WEST
SR023,西部代表5,R_WEST
SR024,西部代表6,R_WEST
